,nazwa,miasto,firma,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_nie_dla_epileptyków,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,bezpieczeństwo_przycisk_bezpieczeństwa,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy,min_liczba_graczy,max_liczba_graczy
359,Sherlock Holmes,Lublin,LetMeOut,60,Przygodowy,śr. zaawansowani,5 ,361,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,8.2,8.8,9.2,Średni,2,6
360,Piraci,Wrocław,Trapped,60,Przygodowy,śr. zaawansowani,142 ,362,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,7.8,9.5,8.5,Średni,2,4
361,Orion 53 - Space Challenge,Białystok,Logic Games - Escape Room Białystok,60,Przygodowy,doświadczony,16 ,363,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,8.8,9.6,9.7,Trudny,2,5
362,Pokój Zagadka,Warszawa,Dom Zagadek,60,Abstrakcyjny,początkujący,59 ,364,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,7.5,9.3,8.0,Średni,2,8
363,Killer,Kraków,ExitRoom ™,60,Kryminalny,początkujący,22 ,366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7.1,9.7,8.0,Średni,2,5
364,Zakład Karny,Wrocław,LetMeOut,60,Przygodowy,na pierwszy raz,13 ,365,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,8.3,9.2,8.3,Średni,2,5
365,Pokój agenta Snow,Gdynia,WALKOUT,60,Kryminalny,początkujący,119 ,367,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,7.4,7.7,8.1,Średni,2,6
366,Klątwa Faraona,Białystok,Logic Games - Escape Room Białystok,60,Przygodowy,śr. zaawansowani,21 ,368,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,7.8,8.5,8.8,Średni,2,5
367,Espace Room,Jelenia Góra,King of the Lock,75,Przygodowy,śr. zaawansowani,4 ,369,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,8.8,10.0,8.9,Trudny,2,6
368,Psychiatryk,Wrocław,LetMeOut,60,Przygodowy,początkujący,35 ,370,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,6.4,7.2,9.1,Średni,2,5
