,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,języki_rosyjski,bezpieczeństwo_tylko_niskie_napięcie_w_zasięgu_gracza,bezpieczeństwo_dezynfekowane_pokoje,podstawowe_klimatyzowany,podstawowe_możesz_kupić_tutaj_escape_tales,podstawowe_półmrok_w_pokoju,podstawowe_nie_dla_epileptyków,podstawowe_bardzo_wąskie_przejścia,bezpieczeństwo_dezynfekcja_lampami_uvc,podstawowe_gra_bez_aktora,bezpieczeństwo_ograniczony_kontakt_z_innymi_grupami,bezpieczeństwo_oświetlenie_awaryjne,podstawowe_przyjazny_zwierzętom,bezpieczeństwo_dostępny_żel_antybakteryjny,podstawowe_pokój_eliminacyjny_poland_escape,inne_prawdziwy_mistrz_gry,bezpieczeństwo_przycisk_bezpieczeństwa,języki_słowacki,języki_czeski,podstawowe_nie_dla_osób_z_chorobami_serca,podstawowe_nieodpowiednie_dla_osób_z_klaustrofobią,podstawowe_od_18_lat,bezpieczeństwo_drzwi_zawsze_otwarte,bezpieczeństwo_pełen_monitoring,bezpieczeństwo_pełen_kontakt_z_mistrzem_gry,bezpieczeństwo_klucz_bezpieczeństwa,bezpieczeństwo_system_awaryjnego_otwierania_drzwi,języki_angielski,podstawowe_przyjazny_niepełnosprawnym,podstawowe_możliwość_płatności_kartą,bezpieczeństwo_dostępne_rekawiczki,podstawowe_nie_dla_kobiet_w_ciąży,języki_polski,podstawowe_przyjazny_dzieciom,podstawowe_od_16_lat,srednia_ocena,ocena_obsluga,ocena_klimat,trudnosc_wg_graczy
10,Rodzina Addamsów,Wrocław,HURRY UP,2-4 osoby,90 minut,Przygodowy,śr. zaawansowani,110 opinii,Polska: 11. miejsce,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.8,10,10,Trudny
11,W cieniu piramid,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,218 opinii,Polska: 12. miejsce,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,9.8,9.7,9.9,Średni
12,Serce Ozyrysa,Kraków,Escape Kraków,2-5 osób,90 minut,Przygodowy,doświadczony,77 opinii,Polska: 14. miejsce,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,9.7,9.8,9.7,Trudny
13,Seria Niefortunnych Zagadek,Pszczyna,Cinema Escape,3-6 osób,75 minut,Fabularny,śr. zaawansowani,218 opinii,Polska: 13. miejsce,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,9.8,9.9,10,Średni
14,Operacja: Metro,Bydgoszcz,Wyjście Awaryjne,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,133 opinie,Polska: 15. miejsce,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.8,9.8,10,Trudny
15,Expecto Patronum!,Gdańsk,Escape Time,2-6 osób,75 minut,Przygodowy,śr. zaawansowani,83 opinie,Polska: 16. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,9.7,9.9,10,Średni
16,Osobowość,Poznań,Continuum,2-4 osoby,75 minut,Kryminalny,doświadczony,142 opinie,Polska: 17. miejsce,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,9.7,9.9,9.9,Trudny
17,Wikingowie · Amulety Mocy,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,176 opinii,Polska: 18. miejsce,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,9.8,10,9.9,Trudny
18,Katakumby,Warszawa,Zagadkownia,2-6 osób,75 minut,Thriller,początkujący,61 opinii,Polska: 19. miejsce,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,9.7,9.9,10,Średni
19,Przeklęta wyspa,Warszawa,Escape Project,2-6 osób,60 minut,Przygodowy,śr. zaawansowani,259 opinii,Polska: 20. miejsce,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.7,9.7,9.9,Średni
20,Nieznajomi,Poznań,Continuum,2-4 osoby,75 minut,Horror,śr. zaawansowani,111 opinii,Polska: 21. miejsce,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,9.7,9.9,9.8,Średni
21,Testament,Rybnik,Set Me Free,2-4 osoby,75 minut,Przygodowy,doświadczony,54 opinie,Polska: 22. miejsce,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,9.9,10,10,Trudny
22,Tajemnicze Domostwo,Poznań,DreamScape,2-4 osoby,75 minut,Thriller,doświadczony,66 opinii,Polska: 23. miejsce,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,9.8,10,10,Trudny
23,Chłopiec,Rybnik,Set Me Free,2-5 osób,75 minut,Fabularny,śr. zaawansowani,20 opinii,Polska: 24. miejsce,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.9,10,10,Średni
24,Pachnidło,Gdańsk,Escape Time,2-6 osób,75 minut,Thriller,śr. zaawansowani,92 opinie,Polska: 25. miejsce,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,9.7,9.9,9.8,Trudny
25,Obłęd,Wrocław,Exit19.pl,2-6 osób,90 minut,Thriller,śr. zaawansowani,293 opinie,Polska: 26. miejsce,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,9.7,9.7,9.8,Trudny
26,Golden Hajs,Poznań,Escapelandia,2-5 osób,75 minut,Przygodowy,doświadczony,147 opinii,Polska: 27. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,9.7,9.9,9.8,Trudny
27,American School Story,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,128 opinii,Polska: 28. miejsce,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,9.7,9.9,9.9,Trudny
28,Dom pogrzebowy,Poznań,Escapelandia,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,159 opinii,Polska: 29. miejsce,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,9.6,9.8,9.9,Trudny
29,W cieniu piramid,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,301 opinii,Polska: 30. miejsce,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,9.7,9.8,10,Trudny
30,Porwany Samolot,Wrocław,Escape Bus / Escapeo,2-4 osoby,90 minut,Thriller,śr. zaawansowani,285 opinii,Polska: 31. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,9.7,10,9.8,Trudny
31,Szum,Poznań,Continuum,2-5 osób,75 minut,Thriller,śr. zaawansowani,118 opinii,Polska: 32. miejsce,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,9.8,9.9,9.9,Trudny
32,Koneser,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,206 opinii,Polska: 33. miejsce,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9.7,9.8,9.8,Trudny
33,Sekret dziadka,Poznań,Escapelandia,2-5 osób,75 minut,Fabularny,doświadczony,241 opinii,Polska: 34. miejsce,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,9.7,10,9.8,Trudny
34,Muzeum okultyzmu Państwa Warren,Warszawa,Exciting Escape Room,2-5 osób,90 minut,Horror,doświadczony,97 opinii,Polska: 35. miejsce,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,9.6,9.9,9.8,Trudny
35,Freakshow,Bydgoszcz,Break The Brain,2-4 osoby,60 minut,Thriller,początkujący,178 opinii,Polska: 36. miejsce,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,9.7,9.9,9.9,Średni
36,Sztukmistrz z dzielnicy Muveszet,Warszawa,Mysterious Room,2-5 osób,90 minut,Fabularny,śr. zaawansowani,61 opinii,Polska: 37. miejsce,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,9.5,9.8,9.9,Trudny
37,Galaktyka Tajemnic,Poznań,ESCAPE ARENA,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,127 opinii,Polska: 38. miejsce,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,9.7,9.9,9.8,Średni
38,Urok,Poznań,DreamScape,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,109 opinii,Polska: 39. miejsce,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9.7,9.9,9.7,Średni
39,Dooby Doo,Wrocław,Fox O'clock,2-5 osób,90 minut,Thriller,doświadczony,242 opinie,Polska: 40. miejsce,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,9.6,9.9,9.8,Trudny
40,Ale Sztuka!,Chorzów,LOFTescape,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,51 opinii,Polska: 41. miejsce,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,9.5,9.8,9.8,Trudny
41,Legenda Miecza,Warszawa,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,342 opinie,Polska: 42. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,9.5,9.7,9.7,Średni
42,Tajemnica Władcy Nilu,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,167 opinii,Polska: 43. miejsce,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,9.3,9.5,9.8,Średni
43,Wehikuł Czasu - Tajemnica Leonarda,Wrocław,Exit19.pl,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,76 opinii,Polska: 44. miejsce,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,9.5,9.7,10,Trudny
44,Kuźnia Krasnoluda,Gdynia,Escape Me Gdynia,2-4 osoby,75 minut,Fantasy,doświadczony,31 opinii,Polska: 45. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,9.8,10,10,Trudny
45,Teksańska Masakra,Poznań,Find a Way,2-5 osób,75 minut,Horror,śr. zaawansowani,21 opinii,Polska: 46. miejsce,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,9.5,9.7,10,Trudny
46,Stara Szafa,Warszawa,Świat Zagadek,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,105 opinii,Polska: 47. miejsce,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,9.4,9.8,9.6,Trudny
47,Kopalnia Złota,Chorzów,Strych,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,93 opinie,Polska: 48. miejsce,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.5,10,9.9,Średni
48,Psychopata,Rybnik,Set Me Free,2-5 osób,75 minut,Thriller,śr. zaawansowani,58 opinii,Polska: 49. miejsce,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.8,10,10,Trudny
49,In da Club,Poznań,IN DA CLUB,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,55 opinii,Polska: 50. miejsce,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,9.6,9.9,9.9,Trudny
50,Syreni Śpiew,Wrocław,Fox O'clock,2-4 osoby,60 minut,Fantasy,śr. zaawansowani,128 opinii,Polska: 51. miejsce,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9.4,9.6,9.7,Trudny
51,Ubik,Bytom,Escape Graal,2-5 osób,70 minut,Fabularny,śr. zaawansowani,60 opinii,Polska: 52. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,9.5,10,9.6,Średni
52,Wrota Czasu - Tortuga,Gliwice,TickTack,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,418 opinii,Polska: 53. miejsce,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,9.4,10,9.9,Trudny
53,Tunele pod miastem,Katowice,Quest Cage Centrum,2-4 osoby,60 minut,Przygodowy,początkujący,149 opinii,Polska: 54. miejsce,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,9.4,9.8,9.7,Średni
54,Świt nietoperzy,Poznań,Evadere,2-5 osób,75 minut,Przygodowy,doświadczony,37 opinii,Polska: 55. miejsce,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,9.6,10,9.6,Trudny
55,Sanitariusz,Swarzędz,Escape House,2-4 osoby,75 minut,Thriller,śr. zaawansowani,38 opinii,Polska: 56. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,9.7,10,9.8,Trudny
56,Tajemnicza Komnata,Warszawa,Świat Zagadek,2-5 osób,60 minut,Przygodowy,początkujący,520 opinii,Polska: 57. miejsce,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,9.4,10,9.5,Średni
57,Świątynia 2.0 - Wynalazek Tesli,Kraków,Secreto,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,86 opinii,Polska: 59. miejsce,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,9.3,9.4,9.6,Średni
58,Nekromanta - Rytuał Śmierci,Wrocław,Exit19.pl,2-5 osób,70 minut,Przygodowy,śr. zaawansowani,156 opinii,Polska: 58. miejsce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,9.5,9.8,9.8,Średni
59,Paranoja,Łódź,Tkalnia Zagadek,2-6 osób,150 minut,Horror,śr. zaawansowani,29 opinii,Polska: 60. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,9.8,9.8,9.9,Trudny
60,Kancelaria,Poznań,Key To Be Free,2-6 osób,75 minut,Kryminalny,śr. zaawansowani,15 opinii,Polska: 61. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,9.7,10,10,Średni
61,Magia Hogwartu,Rzeszów,Escape Room Rzeszów,2-6 osób,60 minut,Fantasy,śr. zaawansowani,47 opinii,Polska: 62. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,9.6,9.9,10,Trudny
62,Odkrywcy,Swarzędz,Escape House,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,45 opinii,Polska: 63. miejsce,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,9.7,10,9.9,Trudny
63,Rosalie,Wrocław,Fox O'clock,2-4 osoby,75 minut,Thriller,doświadczony,18 opinii,Polska: 64. miejsce,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9.2,9.8,9.5,Trudny
64,Legenda Miecza,Bydgoszcz,Wyjście Awaryjne,2-5 osób,60 minut,Przygodowy,początkujący,450 opinii,Polska: 65. miejsce,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,9.6,9.8,9.8,Średni
65,Złoto nazistów,Warszawa,Black Cat Escape Room,2-7 osób,60 minut,Przygodowy,śr. zaawansowani,982 opinie,Polska: 66. miejsce,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,9.2,9.8,9.7,Trudny
66,Saloon,Zabrze,Open The Lock,2-5 osób,75 minut,Przygodowy,śr. zaawansowani,43 opinie,Polska: 68. miejsce,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,9.6,10,9.7,Trudny
67,Bestie Peruna,Wrocław,Trap Jungle,2-4 osoby,100 minut,Fantasy,doświadczony,4 opinie,Polska: 67. miejsce,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,9.9,10,10,Trudny
68,Zamek Czarnego Kruka,Bytom,Can you escape?,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,64 opinie,Polska: 69. miejsce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,9.4,9.9,9.8,Średni
69,Primadonna,Poznań,Operator Zagadek,2-8 osób,75 minut,Przygodowy,śr. zaawansowani,80 opinii,Polska: 71. miejsce,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,9.6,9.9,9.7,Średni
70,Obłęd,Bydgoszcz,Break The Brain,3-7 osób,60 minut,Thriller,śr. zaawansowani,323 opinie,Polska: 72. miejsce,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,9.4,9.8,9.8,Trudny
71,Dom mordercy Remastered,Warszawa,Black Cat Escape Room,2-7 osób,70 minut,Thriller,śr. zaawansowani,1 467 opinii,Polska: 73. miejsce,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,9.1,9.7,9.7,Trudny
72,Reaktor 404: powrót atomu,Katowice,Quest Cage,2-5 osób,60 minut,Fabularny,początkujący,309 opinii,Polska: 74. miejsce,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,9.2,9.9,9.6,Średni
73,Jaś i Małgosia,Poznań,Escapelandia,2-4 osoby,60 minut,Fantasy,początkujący,39 opinii,Polska: 76. miejsce,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,9.3,9.7,9.6,Łatwy
74,Duch,Poznań,EXODUS,2-6 osób,60 minut,Horror,śr. zaawansowani,56 opinii,Polska: 75. miejsce,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,8.8,9.1,9.2,Trudny
75,Piracka Skrzynia Umarlaka,Gdynia,Escape Me Gdynia,2-5 osób,60 minut,Fantasy,śr. zaawansowani,21 opinii,Polska: 78. miejsce,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,9.6,10,9.8,Trudny
76,Sekretne Stowarzyszenie,Toruń,Bunkier51,2-7 osób,75 minut,Fabularny,śr. zaawansowani,21 opinii,Polska: 77. miejsce,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,9.7,9.6,9.6,Trudny
77,Kim jest Max Winckler?,Warszawa,Mysterious Room,2-5 osób,60 minut,Fabularny,doświadczony,86 opinii,Polska: 79. miejsce,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,8.9,9.7,9.4,Trudny
